spanMedian,spanP90,inkAtLeast,fits,driftRatio,spacing,zoom,theta,shape
1754,2634,0.82,0,2,1,0.15,0.01,circle
3287,4936,0.883,0,2,1,0.08,0.01,circle
36,52,0.291,1,2,1,8,0.05,circle
134,200,0.342,1,2,1,2,0.05,circle
265,397,0.531,1,2,1,1,0.05,circle
659,989,0.846,1,2,1,0.4,0.05,circle
1754,2634,0.867,0,2,1,0.15,0.05,circle
3287,4936,0.912,0,2,1,0.08,0.05,circle
36,52,0.383,1,2,1,8,0.2,circle
134,200,0.416,1,2,1,2,0.2,circle
265,397,0.547,1,2,1,1,0.2,circle
659,989,0.834,1,2,1,0.4,0.2,circle
1754,2634,0.887,0,2,1,0.15,0.2,circle
3287,4936,0.887,0,2,1,0.08,0.2,circle
28,40,0.184,1,2.236,1,8,0,circle
101,150,0.182,1,2.236,1,2,0,circle
199,298,0.182,1,2.236,1,1,0,circle
495,743,0.182,1,2.236,1,0.4,0,circle
1318,1977,0.182,0,2.236,1,0.15,0,circle
2469,3706,0.182,0,2.236,1,0.08,0,circle
28,40,0.188,1,2.236,1,8,0.002,circle
101,150,0.17,1,2.236,1,2,0.002,circle
199,298,0.139,1,2.236,1,1,0.002,circle
495,743,0.172,1,2.236,1,0.4,0.002,circle
1318,1977,0.449,0,2.236,1,0.15,0.002,circle
2469,3706,0.68,0,2.236,1,0.08,0.002,circle
28,40,0.172,1,2.236,1,8,0.01,circle
101,150,0.156,1,2.236,1,2,0.01,circle
199,298,0.295,1,2.236,1,1,0.01,circle
495,743,0.619,1,2.236,1,0.4,0.01,circle
1318,1977,0.859,0,2.236,1,0.15,0.01,circle
2469,3706,0.873,0,2.236,1,0.08,0.01,circle
28,40,0.213,1,2.236,1,8,0.05,circle
101,150,0.279,1,2.236,1,2,0.05,circle
199,298,0.393,1,2.236,1,1,0.05,circle
495,743,0.762,1,2.236,1,0.4,0.05,circle
1318,1977,0.896,0,2.236,1,0.15,0.05,circle
2469,3706,0.91,0,2.236,1,0.08,0.05,circle
28,40,0.326,1,2.236,1,8,0.2,circle
101,150,0.346,1,2.236,1,2,0.2,circle
199,298,0.445,1,2.236,1,1,0.2,circle
495,743,0.789,1,2.236,1,0.4,0.2,circle
1318,1977,0.881,0,2.236,1,0.15,0.2,circle
2469,3706,0.895,0,2.236,1,0.08,0.2,circle
13,19,0.082,1,3.202,1,8,0,circle
45,67,0.086,1,3.202,1,2,0,circle
88,131,0.094,1,3.202,1,1,0,circle
216,323,0.094,1,3.202,1,0.4,0,circle
573,859,0.094,1,3.202,1,0.15,0,circle
1073,1608,0.094,0,3.202,1,0.08,0,circle
13,19,0.084,1,3.202,1,8,0.002,circle
45,67,0.066,1,3.202,1,2,0.002,circle
88,131,0.07,1,3.202,1,1,0.002,circle
216,323,0.078,1,3.202,1,0.4,0.002,circle
573,859,0.258,1,3.202,1,0.15,0.002,circle
1073,1608,0.336,0,3.202,1,0.08,0.002,circle
13,19,0.063,1,3.202,1,8,0.01,circle
45,67,0.064,1,3.202,1,2,0.01,circle
88,131,0.18,1,3.202,1,1,0.01,circle
216,323,0.287,1,3.202,1,0.4,0.01,circle
573,859,0.691,1,3.202,1,0.15,0.01,circle
1073,1608,0.848,0,3.202,1,0.08,0.01,circle
13,19,0.098,1,3.202,1,8,0.05,circle
45,67,0.115,1,3.202,1,2,0.05,circle
88,131,0.188,1,3.202,1,1,0.05,circle
216,323,0.498,1,3.202,1,0.4,0.05,circle
573,859,0.809,1,3.202,1,0.15,0.05,circle
1073,1608,0.873,0,3.202,1,0.08,0.05,circle
13,19,0.148,1,3.202,1,8,0.2,circle
45,67,0.156,1,3.202,1,2,0.2,circle
88,131,0.232,1,3.202,1,1,0.2,circle
216,323,0.49,1,3.202,1,0.4,0.2,circle
573,859,0.832,1,3.202,1,0.15,0.2,circle
1073,1608,0.873,0,3.202,1,0.08,0.2,circle
8,10,0.029,1,4.472,1,8,0,circle
23,34,0.031,1,4.472,1,2,0,circle
44,65,0.045,1,4.472,1,1,0,circle
107,160,0.049,1,4.472,1,0.4,0,circle
282,421,0.049,1,4.472,1,0.15,0,circle
527,788,0.049,1,4.472,1,0.08,0,circle
8,10,0.041,1,4.472,1,8,0.002,circle
23,34,0.043,1,4.472,1,2,0.002,circle
44,65,0.035,1,4.472,1,1,0.002,circle
107,160,0.043,1,4.472,1,0.4,0.002,circle
282,421,0.162,1,4.472,1,0.15,0.002,circle
527,788,0.16,1,4.472,1,0.08,0.002,circle
8,10,0.035,1,4.472,1,8,0.01,circle
23,34,0.035,1,4.472,1,2,0.01,circle
44,65,0.09,1,4.472,1,1,0.01,circle
107,160,0.139,1,4.472,1,0.4,0.01,circle
282,421,0.4,1,4.472,1,0.15,0.01,circle
527,788,0.668,1,4.472,1,0.08,0.01,circle
8,10,0.039,1,4.472,1,8,0.05,circle
23,34,0.063,1,4.472,1,2,0.05,circle
44,65,0.105,1,4.472,1,1,0.05,circle
107,160,0.234,1,4.472,1,0.4,0.05,circle
282,421,0.533,1,4.472,1,0.15,0.05,circle
527,788,0.783,1,4.472,1,0.08,0.05,circle
8,10,0.057,1,4.472,1,8,0.2,circle
23,34,0.064,1,4.472,1,2,0.2,circle
44,65,0.094,1,4.472,1,1,0.2,circle
107,160,0.27,1,4.472,1,0.4,0.2,circle
282,421,0.582,1,4.472,1,0.15,0.2,circle
527,788,0.791,1,4.472,1,0.08,0.2,circle
15,21,0.117,1,3,1,8,0,circle
52,76,0.129,1,3,1,2,0,circle
101,151,0.135,1,3,1,1,0,circle
250,373,0.135,1,3,1,0.4,0,circle
662,992,0.135,1,3,1,0.15,0,circle
1240,1858,0.135,0,3,1,0.08,0,circle
15,21,0.115,1,3,1,8,0.002,circle
52,76,0.137,1,3,1,2,0.002,circle
101,151,0.152,1,3,1,1,0.002,circle
250,373,0.119,1,3,1,0.4,0.002,circle
662,992,0.266,1,3,1,0.15,0.002,circle
1240,1858,0.389,0,3,1,0.08,0.002,circle
15,21,0.137,1,3,1,8,0.01,circle
52,76,0.104,1,3,1,2,0.01,circle
101,151,0.141,1,3,1,1,0.01,circle
250,373,0.336,1,3,1,0.4,0.01,circle
662,992,0.748,1,3,1,0.15,0.01,circle
1240,1858,0.846,0,3,1,0.08,0.01,circle
15,21,0.096,1,3,1,8,0.05,circle
52,76,0.162,1,3,1,2,0.05,circle
101,151,0.201,1,3,1,1,0.05,circle
250,373,0.5,1,3,1,0.4,0.05,circle
662,992,0.852,1,3,1,0.15,0.05,circle
1240,1858,0.898,0,3,1,0.08,0.05,circle
15,21,0.172,1,3,1,8,0.2,circle
52,76,0.188,1,3,1,2,0.2,circle
101,151,0.275,1,3,1,1,0.2,circle
250,373,0.555,1,3,1,0.4,0.2,circle
662,992,0.854,1,3,1,0.15,0.2,circle
1240,1858,0.902,0,3,1,0.08,0.2,circle
13,19,0.111,1,3.162,1,8,0,circle
46,68,0.121,1,3.162,1,2,0,circle
90,134,0.133,1,3.162,1,1,0,circle
222,332,0.133,1,3.162,1,0.4,0,circle
589,882,0.133,1,3.162,1,0.15,0,circle
1103,1653,0.133,0,3.162,1,0.08,0,circle
13,19,0.131,1,3.162,1,8,0.002,circle
46,68,0.129,1,3.162,1,2,0.002,circle
90,134,0.123,1,3.162,1,1,0.002,circle
222,332,0.082,1,3.162,1,0.4,0.002,circle
589,882,0.27,1,3.162,1,0.15,0.002,circle
1103,1653,0.346,0,3.162,1,0.08,0.002,circle
13,19,0.123,1,3.162,1,8,0.01,circle
46,68,0.068,1,3.162,1,2,0.01,circle
90,134,0.125,1,3.162,1,1,0.01,circle
222,332,0.309,1,3.162,1,0.4,0.01,circle
589,882,0.699,1,3.162,1,0.15,0.01,circle
1103,1653,0.855,0,3.162,1,0.08,0.01,circle
13,19,0.063,1,3.162,1,8,0.05,circle
46,68,0.154,1,3.162,1,2,0.05,circle
90,134,0.213,1,3.162,1,1,0.05,circle
222,332,0.467,1,3.162,1,0.4,0.05,circle
589,882,0.799,1,3.162,1,0.15,0.05,circle
1103,1653,0.879,0,3.162,1,0.08,0.05,circle
13,19,0.162,1,3.162,1,8,0.2,circle
46,68,0.143,1,3.162,1,2,0.2,circle
90,134,0.227,1,3.162,1,1,0.2,circle
222,332,0.512,1,3.162,1,0.4,0.2,circle
589,882,0.85,1,3.162,1,0.15,0.2,circle
1103,1653,0.883,0,3.162,1,0.08,0.2,circle
9,13,0.08,1,3.905,1,8,0,circle
30,44,0.082,1,3.905,1,2,0,circle
58,86,0.1,1,3.905,1,1,0,circle
141,211,0.104,1,3.905,1,0.4,0,circle
374,559,0.104,1,3.905,1,0.15,0,circle
700,1047,0.104,0,3.905,1,0.08,0,circle
9,13,0.092,1,3.905,1,8,0.002,circle
