gap,measured,predicted,ideal
0.3183,0.626,0.626,0.6468
0.2788,0.5994,0.5994,0.6074
0.2131,0.5411,0.5411,0.5417
0.0906,0.423,0.4231,0.4192
0.1175,0.4471,0.4471,0.446
0.2268,0.5541,0.5542,0.5553
0.2867,0.6054,0.6054,0.6153
0.3233,0.6287,0.6287,0.6519
0.3472,0.6397,0.6397,0.6571
0.3638,0.6454,0.6454,0.6571
0.3438,0.6383,0.6383,0.6571
0.3226,0.6283,0.6283,0.6512
0.2923,0.6095,0.6095,0.6209
0.2467,0.5725,0.5725,0.5753
0.1733,0.5019,0.5019,0.5019
0.0435,0.391,0.391,0.3721
0.0123,0.3809,0.3809,0.3409
0.1568,0.4854,0.4854,0.4854
0.2369,0.5636,0.5636,0.5655
0.286,0.6049,0.6049,0.6146
0.3183,0.626,0.626,0.6469
0.3407,0.6371,0.6371,0.6571
0.3182,0.6259,0.6259,0.6468
0.2908,0.6084,0.6084,0.6194
0.2516,0.5769,0.5769,0.5802
0.1929,0.5213,0.5213,0.5215
0.0989,0.4302,0.4302,0.4275
0.0656,0.404,0.4039,0.3941
0.0306,0.3855,0.3855,0.3591
0.1182,0.4478,0.4477,0.4467
0.2046,0.5328,0.5328,0.5332
0.2592,0.5835,0.5835,0.5878
0.296,0.612,0.612,0.6246
0.322,0.628,0.628,0.6505
0.2792,0.5998,0.5998,0.6078
0.2407,0.5671,0.5671,0.5693
0.1851,0.5135,0.5135,0.5136
0.1003,0.4314,0.4315,0.4289
0.0379,0.3884,0.3884,0.3664
0.2323,0.5593,0.5593,0.5609
0.0094,0.3805,0.3805,0.338
0.1173,0.4469,0.4469,0.4458
0.1959,0.5243,0.5243,0.5245
0.2481,0.5738,0.5738,0.5767
0.2845,0.6038,0.6038,0.613
0.2576,0.5821,0.5821,0.5861
0.2155,0.5434,0.5434,0.5441
0.1559,0.4845,0.4845,0.4844
0.0671,0.405,0.405,0.3957
0.0731,0.4093,0.4093,0.4017
0.2624,0.5863,0.5862,0.591
0.0446,0.3916,0.3915,0.3732
0.0847,0.4182,0.4182,0.4132
0.1674,0.496,0.496,0.496
0.2236,0.5511,0.5511,0.5521
0.2634,0.587,0.587,0.5919
0.2077,0.5358,0.5358,0.5363
0.1515,0.4801,0.4801,0.48
0.0708,0.4076,0.4076,0.3993
0.0508,0.3948,0.3948,0.3794
0.2458,0.5717,0.5717,0.5744
0.206,0.5341,0.5341,0.5345
0.0266,0.3842,0.3842,0.3552
0.0865,0.4197,0.4197,0.4151
0.1622,0.4908,0.4908,0.4908
0.2154,0.5433,0.5433,0.5439
0.1848,0.5133,0.5133,0.5134
0.1257,0.4549,0.4549,0.4543
0.0423,0.3904,0.3904,0.3708
0.0807,0.415,0.415,0.4092
0.2719,0.594,0.594,0.6005
0.3138,0.6234,0.6234,0.6424
0.1067,0.4371,0.4371,0.4353
0.0251,0.3837,0.3837,0.3536
0.1138,0.4437,0.4437,0.4423
0.1762,0.5048,0.5048,0.5048
0.1441,0.4729,0.4729,0.4727
0.0756,0.4111,0.4111,0.4042
0.0207,0.3825,0.3825,0.3493
0.1618,0.4904,0.4904,0.4904
0.3797,0.6495,0.6495,0.6571
0.4272,0.6557,0.6558,0.6571
0.1916,0.5201,0.52,0.5202
0.0405,0.3895,0.3895,0.369
0.0619,0.4015,0.4015,0.3904
0.1342,0.4631,0.4631,0.4627
0.1007,0.4318,0.4318,0.4293
0.0223,0.383,0.383,0.3509
0.0874,0.4204,0.4204,0.416
0.2474,0.5731,0.5731,0.5759
0.4922,0.6571,0.6571,0.6571
0.4432,0.6566,0.6565,0.6571
0.216,0.5439,0.5439,0.5446
0.0663,0.4044,0.4044,0.3948
0.0372,0.3881,0.3881,0.3658
0.1115,0.4416,0.4416,0.4401
0.0281,0.3847,0.3847,0.3567
0.0705,0.4074,0.4074,0.3991
0.2098,0.5379,0.5379,0.5384
0.4146,0.6548,0.6548,0.6571
0.3326,0.6333,0.6334,0.6571
0.3744,0.6483,0.6483,0.6571
0.1829,0.5114,0.5114,0.5115
0.0518,0.3953,0.3953,0.3803
0.0417,0.3901,0.3901,0.3703
0.006,0.3802,0.3802,0.3346
0.0932,0.4253,0.4253,0.4218
0.2312,0.5583,0.5583,0.5597
0.4299,0.6559,0.6559,0.6571
0.2711,0.5933,0.5933,0.5997
0.4714,0.657,0.657,0.6571
0.2593,0.5835,0.5835,0.5879
0.1131,0.443,0.443,0.4417
0.0085,0.3804,0.3804,0.337
0.045,0.3917,0.3917,0.3736
0.1552,0.4838,0.4838,0.4838
0.3077,0.6197,0.6197,0.6363
0.4738,0.657,0.6571,0.6571
0.148,0.4766,0.4767,0.4766
0.4284,0.6558,0.6558,0.6571
0.3387,0.6362,0.6362,0.6571
0.1772,0.5058,0.5057,0.5058
0.0611,0.401,0.401,0.3897
0.0983,0.4297,0.4297,0.4269
0.2198,0.5475,0.5475,0.5483
